feature,importance
account_drawdown,0.08121748663529126
win_streak,0.07282108067586009
total_recovery_volume,0.06653985751254658
distance_from_low_pct,0.05633647102780506
atr_percentile,0.05304303975086537
minutes_since_last_trade,0.052847318775995245
dca_count,0.04188647463647463
had_dca,0.039162785627071345
distance_from_high_pct,0.03802944917283153
hedge_count,0.038012916063861445
atr_14,0.02961980992863346
adx,0.026472215350786782
had_hedge,0.02613490193085782
open_position_count,0.02607396035337212
risk_percent,0.025003509288330714
margin_level_pct,0.024374840627781804
spread_vs_avg_pct,0.0226338141025641
trades_today,0.020900201187701185
plus_di,0.02075532153032153
daily_volume_used,0.01973327228327228
minus_di,0.01764140278974838
trades_last_hour,0.015007975412387173
momentum_20_pct,0.014479828042328042
recent_range_pips,0.013900750043607184
confluence_score,0.01229380341880342
hour,0.011891882409529465
htf_total_score,0.010894116300366302
trend_strength,0.009997564935064939
position_vs_avg,0.007792568950657186
regime_ranging,0.007180035650623886
vwap_distance_pct,0.006973112321851819
regime_trending,0.006868131868131868
session_tokyo,0.006634920634920636
session_ny,0.006545454545454545
day_of_week,0.006274509803921568
regime_strong,0.006234593837535012
at_prev_day_high,0.005777777777777778
spread_pips,0.005656211843711844
signal_conviction,0.005510784313725488
day_of_month,0.00544017094017094
spread_percentile,0.004500610500610502
vwap_below,0.0044178949357520795
vwap_band_score,0.004411764705882355
at_prev_day_low,0.00350999149659864
di_spread,0.0034635416666666664
at_poc,0.002549019607843137
at_swing_low,0.0020833333333333346
at_daily_bullish_fvg,0.0020357142857142857
at_weekly_hvn,0.0020357142857142857
direction_buy,0.0019904761904761914
trend_bullish,0.0018095238095238095
week_of_year,0.001623931623931624
vwap_above,0.0009741612554112553
vwap_band_2,0.0
vwap_band_3,0.0
vwap_at,0.0
at_prev_week_low,0.0
at_prev_week_high,0.0
at_daily_hvn,0.0
at_prev_day_val,0.0
at_prev_day_poc,0.0
above_vah,0.0
at_swing_high,0.0
at_prev_day_vah,0.0
at_lvn,0.0
below_val,0.0
vwap_band_1,0.0
at_weekly_bullish_fvg,0.0
at_weekly_bearish_fvg,0.0
weekly_hvn_count,0.0
at_daily_bearish_fvg,0.0
trend_bearish,0.0
grid_count,0.0
had_grid,0.0
is_overlap,0.0
is_session_close,0.0
session_london,0.0
session_sydney,0.0
is_session_open,0.0
had_partial_close,0.0
htf_aligned,0.0
htf_factors_count,0.0
distance_to_swing_pct,0.0
partial_profit_contribution,0.0
recovery_cost,0.0
partial_close_count,0.0
slippage_pips,0.0
direction_sell,0.0
